district,data type,year,gender,age group,number
Affoltern,Pop_Actual,2017,female,05_09,1449.0
Affoltern,Pop_Actual,2017,female,10_14,1449.0
Affoltern,Pop_Actual,2017,female,15_19,1422.0
Affoltern,Pop_Actual,2017,female,20_24,1344.0
Affoltern,Pop_Actual,2017,female,25_29,1376.0
Affoltern,Pop_Actual,2017,female,30_34,1651.0
Affoltern,Pop_Actual,2017,female,35_39,1916.0
Affoltern,Pop_Actual,2017,female,40_44,1949.0
Affoltern,Pop_Actual,2017,female,45_49,2221.0
Affoltern,Pop_Actual,2017,female,50_54,2295.0
Affoltern,Pop_Actual,2017,female,55_59,1892.0
Affoltern,Pop_Actual,2017,female,60_64,1626.0
Affoltern,Pop_Actual,2017,female,65_69,1516.0
Affoltern,Pop_Actual,2017,female,70_74,1316.0
Affoltern,Pop_Actual,2017,female,75_79,934.0
Affoltern,Pop_Actual,2017,female,80_84,603.0
Affoltern,Pop_Actual,2017,female,85_89,372.0
Affoltern,Pop_Actual,2017,female,90_94,170.0
Affoltern,Pop_Actual,2017,female,95+,25.0
Affoltern,Pop_Actual,2018,male,00_04,1539.0
Affoltern,Pop_Actual,2018,male,05_09,1670.0
Affoltern,Pop_Actual,2018,male,10_14,1507.0
Affoltern,Pop_Actual,2018,male,15_19,1457.0
Affoltern,Pop_Actual,2018,male,20_24,1438.0
Affoltern,Pop_Actual,2018,male,25_29,1477.0
Affoltern,Pop_Actual,2018,male,30_34,1570.0
Affoltern,Pop_Actual,2018,male,35_39,1898.0
Affoltern,Pop_Actual,2018,male,40_44,1902.0
Affoltern,Pop_Actual,2018,male,45_49,2228.0
Affoltern,Pop_Actual,2018,male,50_54,2346.0
Affoltern,Pop_Actual,2018,male,55_59,1983.0
Affoltern,Pop_Actual,2018,male,60_64,1574.0
Affoltern,Pop_Actual,2018,male,65_69,1408.0
Affoltern,Pop_Actual,2018,male,70_74,1267.0
Affoltern,Pop_Actual,2018,male,75_79,889.0
Affoltern,Pop_Actual,2018,male,80_84,510.0
Affoltern,Pop_Actual,2018,male,85_89,268.0
Affoltern,Pop_Actual,2018,male,90_94,82.0
Affoltern,Pop_Actual,2018,male,95+,14.0
Affoltern,Pop_Actual,2018,female,00_04,1509.0
Affoltern,Pop_Actual,2018,female,05_09,1476.0
Affoltern,Pop_Actual,2018,female,10_14,1494.0
Affoltern,Pop_Actual,2018,female,15_19,1387.0
Affoltern,Pop_Actual,2018,female,20_24,1363.0
Affoltern,Pop_Actual,2018,female,25_29,1412.0
Affoltern,Pop_Actual,2018,female,30_34,1720.0
Affoltern,Pop_Actual,2018,female,35_39,1964.0
Affoltern,Pop_Actual,2018,female,40_44,2015.0
Affoltern,Pop_Actual,2018,female,45_49,2143.0
Affoltern,Pop_Actual,2018,female,50_54,2298.0
Affoltern,Pop_Actual,2018,female,55_59,1986.0
Affoltern,Pop_Actual,2018,female,60_64,1631.0
Affoltern,Pop_Actual,2018,female,65_69,1506.0
Affoltern,Pop_Actual,2018,female,70_74,1321.0
Affoltern,Pop_Actual,2018,female,75_79,1032.0
Affoltern,Pop_Actual,2018,female,80_84,638.0
Affoltern,Pop_Actual,2018,female,85_89,394.0
Affoltern,Pop_Actual,2018,female,90_94,176.0
Affoltern,Pop_Actual,2018,female,95+,23.0
Affoltern,Pop_Actual,2019,male,00_04,1567.0
Affoltern,Pop_Actual,2019,male,05_09,1727.0
Affoltern,Pop_Actual,2019,male,10_14,1536.0
Affoltern,Pop_Actual,2019,male,15_19,1441.0
Affoltern,Pop_Actual,2019,male,20_24,1417.0
Affoltern,Pop_Actual,2019,male,25_29,1446.0
Affoltern,Pop_Actual,2019,male,30_34,1620.0
Affoltern,Pop_Actual,2019,male,35_39,1918.0
Affoltern,Pop_Actual,2019,male,40_44,1976.0
Affoltern,Pop_Actual,2019,male,45_49,2162.0
Affoltern,Pop_Actual,2019,male,50_54,2346.0
Affoltern,Pop_Actual,2019,male,55_59,2079.0
Affoltern,Pop_Actual,2019,male,60_64,1605.0
Affoltern,Pop_Actual,2019,male,65_69,1401.0
Affoltern,Pop_Actual,2019,male,70_74,1263.0
Affoltern,Pop_Actual,2019,male,75_79,958.0
Affoltern,Pop_Actual,2019,male,80_84,530.0
Affoltern,Pop_Actual,2019,male,85_89,283.0
Affoltern,Pop_Actual,2019,male,90_94,89.0
Affoltern,Pop_Actual,2019,male,95+,14.0
Affoltern,Pop_Actual,2019,female,00_04,1510.0
Affoltern,Pop_Actual,2019,female,05_09,1563.0
Affoltern,Pop_Actual,2019,female,10_14,1484.0
Affoltern,Pop_Actual,2019,female,15_19,1427.0
Affoltern,Pop_Actual,2019,female,20_24,1346.0
Affoltern,Pop_Actual,2019,female,25_29,1416.0
Affoltern,Pop_Actual,2019,female,30_34,1672.0
Affoltern,Pop_Actual,2019,female,35_39,2024.0
Affoltern,Pop_Actual,2019,female,40_44,2088.0
Affoltern,Pop_Actual,2019,female,45_49,2114.0
Affoltern,Pop_Actual,2019,female,50_54,2285.0
