name,address,lat,lng,type
Coop Supermarkt Feldmeilen,"General-Wille-Strasse 65, Meilen",47.2795598,8.6153894,Aldi
Denner Discount,"General-Wille-Strasse 144, Feldmeilen",47.2775352,8.6175988,Aldi
Lidl Schweiz,"Seestrasse 83 / 93, Horgen",47.2630694,8.591273600000001,Aldi
Migros-Supermarkt - Meilen,"Rosengartenstrasse 10, Meilen",47.2684278,8.6453106,Migros
Migros-Supermarkt - Männedorf,"Alte Landstrasse 262, Männedorf",47.25284389999999,8.6959135,Migros
Migros-Supermarkt - Wädenswil,"Oberdorfstrasse 27-31, Wädenswil",47.2290391,8.667934899999999,Migros
Migros-Supermarkt - Richterswil,"Schützengass 4, Richterswil",47.2063432,8.705254499999999,Migros
Migros-Supermarkt - Wädenswil Zürisee Center,"Rütistrasse 1, Wädenswil",47.2350755,8.6374847,Migros
Migros-Supermarkt - Stäfa,"Goethestrasse 18, Stäfa",47.2408051,8.7242593,Migros
Migros-Supermarkt - Schindellegi,"Pfäffikonerstrasse 19, Schindellegi",47.1758732,8.7130995,Migros
Migros-Supermarkt - Wollerau Märt Roospark,"Roosstrasse 23, Wollerau",47.1919,8.7217431,Migros
Coop Supermarkt Wädenswil,"Zugerstrasse 6, Wädenswil",47.2303015,8.6724502,Coop
Coop Supermarkt Richterswil Obermatt,"Obermattstrasse 7, Richterswil",47.2038682,8.683904,Coop
Coop Supermarkt Meilen,"Dorfstrasse 140, Meilen",47.26866810000001,8.646594,Coop
Coop Supermarkt Uetikon,"Bergstrasse 93, Uetikon am See",47.2626851,8.677137199999999,Coop
Coop Supermarkt Wollerau,"Bahnhofstrasse 20, Wollerau",47.195209,8.7231056,Coop
Coop Supermarkt Stäfa,"Kronenstrasse 4, Stäfa",47.2414913,8.7244373,Coop
Coop Supermarkt Männedorf,"Dammstrasse 18, Männedorf",47.2554261,8.6898834,Coop
Coop Supermarkt Au Wädenswil,"Alte Landstrasse 26, Au ZH",47.2421349,8.6554706,Coop
Coop Supermarkt Richterswil Poststrasse,"Poststrasse 14B, Richterswil",47.2083291,8.7058053,Coop
Coop Supermarkt Wädenswil di alt Fabrik,"Florhofstrasse 9, Wädenswil",47.2306389,8.6699631,Coop
Migros-Supermarkt - Meilen,"Rosengartenstrasse 10, Meilen",47.2684278,8.6453106,Coop
Coop Supermarkt Männedorf Post,"Bahnhofstrasse 24, Männedorf",47.2527167,8.6929505,Coop
