name,lat,lng,street,city,type,district,place_id,place_details,rating,reviews,size_category,rating_category
Migros-Supermarkt - Uster-West,47.3544989,8.7132171,Winterthurerstrasse 18,Uster,Migros,Uster,ChIJ_9gerlijmkcRa9HK0dxs3FQ,"{'formatted_address': 'Winterthurerstrasse 18, 8610 Uster, Switzerland', 'name': 'Migros-Supermarkt - Uster-West', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.3, 'user_ratings_total': 566}",4.3,566.0,Medium,Medium
Migros-Supermarkt - Greifensee,47.3677705,8.680069099999999,Meierwis,Greifensee,Migros,Uster,ChIJMaqMUpqjmkcRW3ZpqIXE3X4,"{'formatted_address': 'Meierwis, 8606 Greifensee, Switzerland', 'name': 'Migros-Supermarkt - Greifensee', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 275}",4.2,275.0,Small,Medium
Migros-Supermarkt - Ebmatingen,47.3509788,8.643306899999999,Zürichstrasse 108,Maur,Migros,Uster,ChIJEVskDgWkmkcR_tbIQDJOw7A,"{'formatted_address': 'Zürichstrasse 108, 8123 Maur, Switzerland', 'name': 'Migros-Supermarkt - Ebmatingen', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 271}",4.2,271.0,Small,Medium
Coop Supermarkt Egg,47.3040831,8.691676800000002,Gewerbestrasse 13,Egg,Coop,Uster,ChIJ13IA1xelmkcRELxmyFK8VNM,"{'formatted_address': 'Gewerbestrasse 13, 8132 Egg, Switzerland', 'name': 'Coop Supermarkt Egg', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 263}",4.2,263.0,Small,Medium
Coop Supermarkt Uster Bahnhof,47.351551,8.7161194,Bankstrasse 10,Uster,Coop,Uster,ChIJcTfTHVO7mkcR8Sibw1I6KkA,"{'formatted_address': 'Bankstrasse 10, 8610 Uster, Switzerland', 'name': 'Coop Supermarkt Uster Bahnhof', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0600'}}], 'weekday_text': ['Monday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:00\u202fPM']}, 'rating': 4, 'user_ratings_total': 989}",4.0,989.0,Medium,Medium
Coop Supermarkt Fällanden,47.3709453,8.641851599999999,Wigartenstrasse 8,Fällanden,Coop,Uster,ChIJ8463AuOjmkcRMJFP4aIk6x4,"{'formatted_address': 'Wigartenstrasse 8, 8117 Fällanden, Switzerland', 'name': 'Coop Supermarkt Fällanden', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4, 'user_ratings_total': 211}",4.0,211.0,Small,Medium
Coop Supermarkt Volketswil Volkiland,47.3827751,8.667195699999999,Industriestrasse 1,Volketswil,Coop,Uster,ChIJk0AHpbijmkcRu36HFQ5eRKI,"{'formatted_address': 'Industriestrasse 1, 8604 Volketswil, Switzerland', 'name': 'Coop Supermarkt Volketswil Volkiland', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.3, 'user_ratings_total': 1428}",4.3,1428.0,Large,Medium
Coop Supermarkt Uster Oberuster,47.3450845,8.7307981,Aathalstrasse 40,Uster,Coop,Uster,ChIJcTfTHVO7mkcRxlZm45Z6CeU,"{'formatted_address': 'Aathalstrasse 40, 8610 Uster, Switzerland', 'name': 'Coop Supermarkt Uster Oberuster', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 3.9, 'user_ratings_total': 184}",3.9,184.0,Small,Low
Coop Supermarkt Uster Winterthurerstrasse,47.35503320000001,8.7128684,Winterthurerstrasse 22,Uster,Coop,Uster,ChIJVUWcN1-jmkcRj772dznIKvo,"{'formatted_address': 'Winterthurerstrasse 22, 8610 Uster, Switzerland', 'name': 'Coop Supermarkt Uster Winterthurerstrasse', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.1, 'user_ratings_total': 363}",4.1,363.0,Medium,Medium
Coop Supermarkt Uster Niederuster,47.34587399999999,8.7020372,Sonnenbergstrasse 8,Uster,Coop,Uster,ChIJNTd1G3ClmkcResPwWGe4Irg,"{'formatted_address': 'Sonnenbergstrasse 8, 8610 Uster, Switzerland', 'name': 'Coop Supermarkt Uster Niederuster', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.1, 'user_ratings_total': 189}",4.1,189.0,Small,Medium
Lidl Schweiz,47.3790805,8.6771677,Müllerenstrasse 5,Volketswil,Lidl,Uster,ChIJ26ZTxbyjmkcRIwZoIwuqZk0,"{'formatted_address': 'Müllerenstrasse 5, 8604 Volketswil, Switzerland', 'name': 'Lidl Schweiz', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 637}",4.2,637.0,Medium,Medium
Lidl Schweiz,47.35655000000001,8.71112,Gschwaderstrasse 24,Uster,Lidl,Uster,ChIJe93oKHejmkcRqcp1N76SXyY,"{'formatted_address': 'Gschwaderstrasse 24, 8610 Uster, Switzerland', 'name': 'Lidl Schweiz', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4, 'user_ratings_total': 95}",4.0,95.0,Small,Medium
ALDI SUISSE,47.3580135,8.7079214,Industriepark 10,Uster,Aldi,Uster,ChIJ9djio2CjmkcRUkyYCej99jg,"{'formatted_address': 'Industriepark 10, 8610 Uster, Switzerland', 'name': 'ALDI SUISSE', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 427}",4.2,427.0,Medium,Medium
ALDI SUISSE,47.3810245,8.6841022,Usterstrasse 51,Volketswil,Aldi,Uster,ChIJTbq6EqSjmkcR3qZcogCxA1o,"{'formatted_address': 'Usterstrasse 51, 8604 Volketswil, Switzerland', 'name': 'ALDI SUISSE', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 834}",4.2,834.0,Medium,Medium
Denner Discount,47.30254069999999,8.690779299999999,Mönchaltorferstrasse 6,Egg,Denner,Uster,ChIJl_cOhBWlmkcRYe7hNoQDO_8,"{'formatted_address': 'Mönchaltorferstrasse 6, 8132 Egg, Switzerland', 'name': 'Denner Discount', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 151}",4.2,151.0,Small,Medium
Denner Partner,47.3854953,8.658781,Bahnstrasse 18,Schwerzenbach,Denner,Uster,ChIJo1Q0BMWjmkcRQGo9x0-b1x8,"{'formatted_address': 'Bahnstrasse 18, 8603 Schwerzenbach, Switzerland', 'name': 'Denner Partner', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.4, 'user_ratings_total': 149}",4.4,149.0,Small,Medium
Denner Express,47.3692514,8.6441208,Fröschbach 59,Fällanden,Denner,Uster,ChIJ7dT4p-SjmkcRHUIVu_7bK64,"{'formatted_address': 'Fröschbach 59, 8117 Fällanden, Switzerland', 'name': 'Denner Express', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 160}",4.2,160.0,Small,Medium
Denner Express,47.3677577,8.6800377,Burstwiesenstrasse 1,Greifensee,Denner,Uster,ChIJYysUqZujmkcRHw7rtxa19lU,"{'formatted_address': 'Burstwiesenstrasse 1, 8606 Greifensee, Switzerland', 'name': 'Denner Express', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.6, 'user_ratings_total': 41}",4.6,41.0,Small,High
Denner Discount,47.3503459,8.7154698,Zürichstrasse 20,Uster,Denner,Uster,ChIJ74HHWaakmkcRK2O62AmtKrg,"{'formatted_address': 'Zürichstrasse 20, 8610 Uster, Switzerland', 'name': 'Denner Discount', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.3, 'user_ratings_total': 126}",4.3,126.0,Small,Medium
Denner Discount,47.3079046,8.7215701,Esslingerstrasse 11,Mönchaltorf,Denner,Uster,ChIJ_-n4koq7mkcRfRlHvKb9yCY,"{'formatted_address': 'Esslingerstrasse 11, 8617 Mönchaltorf, Switzerland', 'name': 'Denner Discount', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 161}",4.2,161.0,Small,Medium
